ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
ibat1238,Ivatan,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",18.9398,121.909,ibat1238,ivb
yami1254,Yami,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",22.055,121.544,yami1254,tao
nort2875,Northern Alta,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",15.6913,121.454,nort2875,aqn
pang1290,Pangasinan,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",15.9377,120.365,pang1290,pag
ibal1244,Ibaloy,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",16.4263,120.695,ibal1244,ibl
bala1310,Balangao,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",17.0994,121.272,bala1310,blw
limo1248,Limos Kalinga,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",17.6081,121.381,limo1248,kmk
dupa1235,Dupaningan Agta,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",17.3748,122.188,dupa1235,duo
kank1243,Kankanaey,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",16.8548,120.689,kank1243,kne
iban1267,Ibanag,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",17.4201,121.891,iban1267,ibg
cent2292,Bontok Central,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",17.08,120.92,cent2292,lbk
ilok1237,Ilocano,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",15.9361,120.993,ilok1237,ilo
pamp1243,Kapampangan,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",14.9603,120.502,pamp1243,pam
buol1237,Buol,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",0.97727,121.519,buol1237,blf
taga1270,Tagalog,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",14.06,121.747,taga1270,tgl
hili1240,Hiligaynon,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",10.4018,122.974,hili1240,hil
akla1240,Aklanon,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",11.55432,122.35413,akla1240,akl
taga1272,Tagabawa,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",6.9712,125.175,taga1272,bgs
goro1259,Gorontalo,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",0.62689,122.288,goro1259,gor
mati1250,Matigsalug Manobo,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",7.72124,125.16,mati1250,mbt
cebu1242,Cebuano,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",8.38799,124.367,cebu1242,ceb
biko1240,Bikol,,,,biko1240,
iray1237,Iraya,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",13.381,120.65,iray1237,iry
agut1237,Agutaynen,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",10.5328,119.655,agut1237,agn
tbol1240,Tboli,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",6.20377,124.538,tbol1240,tbl
kemb1249,Matéq,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",0.66181,110.468,kemb1249,xem
rata1244,Toratán Ratahan,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",1.07592,124.858,rata1244,rth
mala1537,Malagasy,,,,mala1537,
yaka1277,Yakan,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",6.531023,122.021729,yaka1277,yka
west2560,West Coast Bajau,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",6.00631,116.124,west2560,bdr
tond1251,Tondano,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",1.28024,124.964,tond1251,tdn
toto1304,Totoli,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",1.14995,120.875,toto1304,txe
pend1242,Pendau,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",-0.11396,119.862,pend1242,ums
bala1315,Balantak,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",-0.86809,123.289,bala1315,blz
taji1246,Tajio,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",-0.31553,120.01,taji1246,tdj
idaa1241,Begak-Ida'an,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",5.29059,118.515,idaa1241,dbj
kima1244,Kimaragang,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",6.61982,116.96,kima1244,kqr
bong1289,Bonggi,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",7.29249,117.174,bong1289,bdg
bela1260,Belait,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",4.96207,114.933,bela1260,beg
temp1235,Tindal Dusun,"Macroarea(id='pacific', name='Papunesia', description='All islands between Sumatra and the Americas, excluding islands off Australia and excluding Japan and islands to the North of it.', reference_id='hh:hv:HammarstromDonohue:Macro-Areas')",6.36389,116.545,temp1235,tdu
